iter	RMSE
338	0.3171207708
339	0.3163411264
340	0.3156677038
341	0.3149441465
342	0.3148643073
343	0.3139174009
344	0.3138301858
345	0.3132464467
346	0.312437608
347	0.311653544
348	0.3110267986
349	0.3108390832
350	0.3107689913
351	0.3105260217
352	0.3095334628
353	0.3083113264
354	0.3075404605
355	0.3073658653
356	0.3069134401
357	0.3063545176
358	0.3062938531
359	0.3052616332
360	0.3045905111
361	0.3038069673
362	0.3036470645
363	0.3029202533
364	0.3022980615
365	0.3008312459
366	0.3000275955
367	0.2995283475
368	0.2984749957
369	0.2976359831
370	0.2975646706
371	0.2967226065
372	0.2961520129
373	0.2948183221
374	0.2940965365
375	0.2930419605
376	0.2923045484
377	0.2917198779
378	0.2911252777
379	0.2905598733
380	0.2895672581
381	0.2893101884
382	0.2886730797
383	0.2883389534
384	0.2872060823
385	0.2865969717
386	0.2860248931
387	0.2858904803
388	0.284780181
389	0.2840931261
390	0.2836181918
391	0.2826823925
392	0.2819995677
393	0.2814170348
394	0.2803591378
395	0.2792055875
396	0.2784640826
397	0.2774843501
398	0.2768151969
399	0.2763013304
400	0.2754093121
401	0.2745559748
402	0.2740222615
403	0.2736106232
404	0.2731185959
405	0.2727745238
406	0.2725269661
407	0.2717573606
408	0.2709004866
409	0.2702869726
410	0.2694338299
411	0.2691902511
412	0.2688030097
413	0.268175742
414	0.2674098599
415	0.2668181277
416	0.2665878724
417	0.2656806359
418	0.2654120478
419	0.2650498423
420	0.2644497837
421	0.2643468337
422	0.2640141802
423	0.2638309095
424	0.2636280099
425	0.2626924642
426	0.2620582529
427	0.2617236653
428	0.2613489368
429	0.2608120926
430	0.2601198928
431	0.2594066476
432	0.2589195655
433	0.2580699141
434	0.2576255721
435	0.2569149605
436	0.2563469007
437	0.2561627777
438	0.2560016345
439	0.25539377
440	0.2551575607
441	0.2544343005
442	0.2541406948
443	0.2534666756
444	0.2532883638
445	0.2530658978
446	0.2524521105
447	0.2519396077
448	0.2513658648
449	0.2512736631
450	0.2511190633
451	0.2502193912
452	0.249671577
453	0.2492664805
454	0.2491776376
455	0.2489116879
456	0.2484172562
457	0.2482066307
458	0.2476226643
459	0.2470766447
460	0.2469714935
461	0.2464674509
462	0.2461776828
463	0.2455706956
464	0.2449930941
465	0.2444475274
466	0.2441636476
467	0.2438264593
468	0.2437581063
469	0.2436392794
470	0.2433256895
471	0.2431185611
472	0.2427978597
473	0.2422725771
474	0.2418748815
475	0.241378262
476	0.2407659315
477	0.240427218
478	0.2395876941
479	0.2392552884
480	0.238897465
481	0.2381781007
482	0.2378944326
483	0.237705576
484	0.2376252266
485	0.2374889749
486	0.2368312434
487	0.2360810226
488	0.2354503607
489	0.2347364672
490	0.2342384333
491	0.2339820278
492	0.2333538055
493	0.2329077578
494	0.2327026954
495	0.2320809191
496	0.2319145257
497	0.2311803672
498	0.2309645772
499	0.2308702623
500	0.2302801425
501	0.2301910274
502	0.2297566007
503	0.2295177163
504	0.2288984423
505	0.2285570673
506	0.2280556886
507	0.2277684529
508	0.2275303936
509	0.2273384157
510	0.2270384482
511	0.226696554
512	0.226177739
513	0.2260125622
514	0.2259418821
515	0.2254858034
516	0.2251032719
517	0.2248284746
518	0.2244403606
519	0.2236496282
520	0.2232897423
521	0.2228922858
522	0.2227156192
523	0.2223931104
524	0.2221210981
525	0.2220011696
526	0.2213324276
527	0.2212052669
528	0.2210413154
529	0.2208681963
530	0.2207646651
531	0.2201694203
532	0.2197940276
533	0.2193225869
534	0.2188360557
535	0.2184155424
536	0.2180261807
537	0.2179224082
538	0.2173572893
539	0.2170054522
540	0.2169111127
541	0.2167922714
542	0.2162307279
543	0.2158345412
544	0.2157427232
545	0.2153052675
546	0.2151984364
547	0.2148093347
548	0.214333299
549	0.2137292435
550	0.2134990253
551	0.2134329547
552	0.2131852728
553	0.2127447176
554	0.2127055793
555	0.2123431506
556	0.2122750093
557	0.2118009039
558	0.211416941
559	0.2113012725
560	0.2109759396
561	0.2106235465
562	0.2101784076
563	0.2098697209
564	0.2094272795
565	0.2090131451
566	0.2087318502
567	0.2084288134
568	0.2080515466
569	0.2075236695
570	0.2071991612
571	0.2070359063
572	0.206934623
573	0.2064451151
574	0.2063582185
575	0.2059996034
576	0.205537077
577	0.2050976697
578	0.2050352202
579	0.2050079953
580	0.2045479172
581	0.2040031658
582	0.2036541525
583	0.2033277785
584	0.2028297183
585	0.2024456254
586	0.2023667523
587	0.2021830133
588	0.201721356
589	0.201402198
590	0.2009304394
591	0.2006563923
592	0.2005957874
593	0.2003928934
594	0.2000990004
595	0.1999725473
596	0.1995203517
597	0.1990268765
598	0.1986090493
599	0.1984666559
600	0.1980410293
601	0.1975720375
602	0.1975508295
603	0.197185948
604	0.1968857563
605	0.196694127
606	0.19621185
607	0.1959075713
608	0.195551437
609	0.1952122266
610	0.1948554209
611	0.1947541845
612	0.1943412182
613	0.194079087
614	0.1940245176
615	0.1939464452
616	0.1936147502
617	0.19346507
618	0.1931352948
619	0.1929905316
620	0.1929325023
621	0.1925015833
622	0.1924567693
623	0.1921494846
624	0.1917735965
625	0.1916932875
626	0.1914551297
627	0.1912691289
628	0.1911643838
629	0.1909971376
630	0.19061973
631	0.1901911862
632	0.1897118794
633	0.1894117039
634	0.1892416238
635	0.1889839137
636	0.1888267481
637	0.1887696434
638	0.1887254696
639	0.1884300521
640	0.1883910269
641	0.1883752889
642	0.1881219364
643	0.1877253869
644	0.1874541208
645	0.1873364139
646	0.1870341872
647	0.1867916562
648	0.186663031
649	0.1865308266
650	0.1862491192
651	0.1858469925
652	0.1854401474
653	0.1852209402
654	0.1849362545
655	0.184900611
656	0.1848403893
657	0.1845308698
658	0.1843277341
659	0.1842315564
660	0.1840015441
661	0.1839360862
662	0.1835429759
663	0.1832123208
664	0.1831996678
665	0.1830732687
666	0.1828214852
667	0.1825805637
668	0.1823319919
669	0.1819807824
670	0.1817539132
671	0.1814498928
672	0.1810894002
673	0.180971724
674	0.1806712723
675	0.1802581424
676	0.1799621409
677	0.17990031
678	0.1795750397
679	0.1791469499
680	0.1790362955
681	0.1787779288
682	0.1785929643
683	0.1783928601
684	0.1782150223
685	0.1780149338
686	0.1777194246
687	0.1774967783
688	0.1772514527
689	0.1769824276
690	0.1769381636
691	0.1767344711
692	0.1765781239
693	0.1763799674
694	0.1763037559
695	0.1759677272
696	0.1758512694
697	0.1755593496
698	0.1752376885
699	0.1751956381
700	0.1749298171
701	0.1745585417
702	0.1743082153
703	0.1741366935
704	0.1737770901
705	0.1737155645
706	0.1736571932
707	0.173349994
708	0.1733123686
709	0.1730423125
710	0.172829171
711	0.1727405153
712	0.1723660497
713	0.1723074984
714	0.1721092363
715	0.1718313584
716	0.1715897215
717	0.171352711
718	0.1711642426
719	0.1708470187
720	0.1705284174
721	0.1702339213
722	0.1699503062
723	0.1697635119
724	0.1695221966
725	0.1691626649
726	0.1690054197
727	0.1689514989
728	0.168644439
729	0.1684082355
730	0.1682048648
731	0.1680949503
732	0.1678727777
733	0.1677480262
734	0.1675788655
735	0.1673375121
736	0.1671516128
737	0.1669062886
738	0.1666593568
739	0.166485799
740	0.1663692741
741	0.1660736273
742	0.1658994663
743	0.1655679223
744	0.1654127451
745	0.1653294701
746	0.1651473908
747	0.1650318999
748	0.1647614769
749	0.1645272201
750	0.1642488481
751	0.1641286558
752	0.1638224687
753	0.1636843138
754	0.1633241541
755	0.1629930948
756	0.1628681131
757	0.1626410403
758	0.162434901
759	0.1622306178
760	0.1620467779
761	0.1618466142
762	0.1617862752
763	0.161608707
764	0.1614151068
765	0.1611724863
766	0.160961827
767	0.1606022025
768	0.1604404196
769	0.1601989502
770	0.1601649627
771	0.1599593625
772	0.1597892719
773	0.159482822
774	0.1594510638
775	0.1592694657
776	0.1590115459
777	0.1589763276
778	0.1586804373
779	0.1585197506
780	0.1584317031
781	0.1582862329
782	0.1580048386
783	0.1579793786
784	0.1576583426
785	0.1575609274
786	0.1573820573
787	0.1571059689
788	0.1570580087
789	0.1568235105
790	0.1567422842
791	0.1564892367
792	0.1562769916
793	0.1561651873
794	0.155917362
795	0.155816753
796	0.1557020796
797	0.1553895897
798	0.1552782609
799	0.1549757297
800	0.1546508173
801	0.1545430091
802	0.1543744534
803	0.1542805389
804	0.1542410114
805	0.1541302333
806	0.1538606425
807	0.1536173992
808	0.1533811213
809	0.1533534046
810	0.1531713765
811	0.1529151142
812	0.1527317233
813	0.1525408197
814	0.1523143039
815	0.1521439237
816	0.1519906474
817	0.1518244743
818	0.1515948538
819	0.1515019133
820	0.1512329713
821	0.1510598746
822	0.1508482056
823	0.1506308448
824	0.1505207873
825	0.1504335192
826	0.1501143178
827	0.1498320894
828	0.1495792061
829	0.1492715107
830	0.1491761129
831	0.1491228203
832	0.1489851318
833	0.1488259574
834	0.148782094
835	0.1485739555
836	0.1484560196
837	0.1483946218
838	0.148173164
839	0.1478941107
840	0.1478194526
841	0.1477939811
842	0.1477105743
843	0.1475885509
844	0.1473845094
845	0.14732172
846	0.1472014334
847	0.1469680904
848	0.1466938748
849	0.1465715664
850	0.1463162878
851	0.1461078692
852	0.1459481685
853	0.1457040073
854	0.1454827529
855	0.1452966122
856	0.1450898885
857	0.1449734344
858	0.1447114167
859	0.144689061
860	0.1444479358
861	0.1443237217
862	0.1442763409
863	0.1441354087
864	0.1439552831
865	0.143875476
866	0.1436707779
867	0.1436470309
868	0.1434826087
869	0.1433318576
870	0.1432126731
871	0.1431390656
872	0.142932131
873	0.1427111341
874	0.1424357388
875	0.142346507
876	0.142063714
877	0.1419806649
878	0.1417539928
879	0.1416196418
880	0.1414264597
881	0.1412215306
882	0.1411458854
883	0.1409623613
884	0.1408756519
885	0.140655313
886	0.1405809264
887	0.1405071946
888	0.1404092313
889	0.1402450798
890	0.1400419244
891	0.1398833969
892	0.1396982388
893	0.1394635493
894	0.1393614122
895	0.1392167793
896	0.1390052685
897	0.1388521966
898	0.1386962343
899	0.138442098
900	0.1382510104
901	0.138080483
902	0.1379305904
903	0.1377710025
904	0.1376120221
905	0.1375058214
906	0.137334187
907	0.1371203827
908	0.1370549611
909	0.1369270727
910	0.1367125795
911	0.136617912
912	0.13657803
913	0.1365445196
914	0.13636309
915	0.1361576994
916	0.1359489613
917	0.1358150802
918	0.1356603398
919	0.1354867595
920	0.1353098304
921	0.1352475427
922	0.1351346509
923	0.1348587279
924	0.1346758909
925	0.1345412578
926	0.1344607631
927	0.1342932971
928	0.134146835
929	0.1340459086
930	0.1338130668
931	0.1335851648
932	0.1334921549
933	0.1334040361
934	0.1332604243
935	0.1331249185
936	0.1329594571
937	0.1329110051
938	0.1327795916
939	0.132520425
940	0.1323866095
941	0.1321848287
942	0.1320984193
943	0.1320896147
944	0.1319979595
945	0.1319284305
946	0.1317720719
947	0.1315828274
948	0.1313880715
949	0.131173298
950	0.1309832803
951	0.1308287397
952	0.1306031612
953	0.1303923471
954	0.130267718
955	0.1300872403
956	0.1300538599
957	0.1299902502
958	0.1299673976
959	0.1297481829
960	0.1295774068
961	0.1294600452
962	0.1293924557
963	0.1293165169
964	0.1290480203
965	0.1288933849
966	0.1287644207
967	0.1285407891
968	0.1284752359
969	0.1282747199
970	0.1280996901
971	0.127948425
972	0.1278141988
973	0.1275972362
974	0.1274194862
975	0.1272231781
976	0.1270984842
977	0.1269357497
978	0.1267416938
979	0.1265694395
980	0.1263608703
981	0.1261854252
982	0.1259974671
983	0.1258139913
984	0.1256266237
985	0.1254667726
986	0.1253974117
987	0.1252738978
988	0.1250913117
989	0.125051475
990	0.1249876605
991	0.1247829804
992	0.1246922971
993	0.1245257732
994	0.1245033174
995	0.1244665969
996	0.1243812585
997	0.124270423
998	0.1241636323
999	0.1239857239
